Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict
11;Coffee really got me wired right now. A non coffee drinker;0;0;0;0;0;0;0;0;0;0;0;0;coffee really got me wired right now a non coffee drinker;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Yue: i can excuse kiki and asheng becoming cabecabean but i drew a line in charlotte AND ronan having that sweet touch of a cabe;0;0;0;0;0;0;0;0;0;0;0;0;yue i can excuse kiki and asing becoming cabe cabean but i drew a line in charlotte and ronan having that sweet touch of a cabe;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;USER USER USER USER USER USER iyain dah tante jablay wkwk';0;1;0;0;0;0;0;0;0;0;0;0;user user user user user user iyakan sudah tante jablay  ;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;USER Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO';1;1;1;0;0;0;0;0;1;1;0;0;user kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena congor fadli zon seperti durno ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
21;"indonesia: literally suffocating from the air pollution

the kampungan people watching over their trash burning:  pic.twitter.com/4ny5B7F2uX";0;1;0;0;0;0;0;0;0;0;0;0;indonesia literally suffocating from the air pollution the kampungan people menonton over their sampah burning ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
22;RT USER: Ya, saya bajingan\nTERIMA KASIH';0;1;0;0;0;0;0;0;0;0;0;0;rt user  saya bajingan terima kasih ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;Beli barang pengiriman dr cina biasanya paket transit cin-indo cuma 3 hari napa ini seminggu\xf0\x9f\x98\xa2';0;0;0;0;0;0;0;0;0;0;0;0;beli barang pengiriman dari cina biasanya paket transit cinta indonesia hanya hari kenapa ini seminggu ;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
43;USER Mau dibucinin lah asw udh dibucinin kok gak mempan wagelaseh gue harus ngapain lage';0;1;0;0;0;0;0;0;0;0;0;0;user mau dibudakcintakan  anjing sudah dibudakcintakan  tidak mempan  gila  aku harus apa lagi ;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;Mas USER USER saya sangat berharap Jakarta bisa memperbanyak sekolah2 hafiz qur'an seperti di Turki;0;0;0;0;0;0;0;0;0;0;0;0;mas user user saya sangat berharap jakarta bisa memperbanyak sekolah sekolah hafiz qur an seperti di turki;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;USER Tindak tegas kecurangan paslon tersebut, jangan sampai mengotori pilkada di sumut ini;0;0;0;0;0;0;0;0;0;0;0;0;user tindak tegas kecurangan pasangan calon tersebut jangan sampai mengotori pilihan kepala daerah di sumatera utara ini;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
99;BANGSAT BANGET HE KNOW HE THICC HE KNOW HE THE AMERICA'S ASS THE FUCK DKENLEBEKEB  pic.twitter.com/TdgAZGS0fD,,,,;1;1;1;0;0;0;0;0;1;1;0;0;bangsat banget he know he thicc he know he the america ass the fuck dkenlebekeb ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;USER aku tak tahu bahasa indon but SIALAN KOK MASIH BERKATA KATA LU BAJINGAN URL;1;1;1;0;0;0;0;0;1;1;0;0;user aku tidak tahu bahasa indonesia but sialan  masih berkata kata kamu bajingan url;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110;Memang iblis punya perangai yang buat kucing macam tu zzzzzzzz tak sanggup aku tgk \xf0\x9f\x98\xad';0;1;0;0;0;0;0;0;0;0;0;0;memang iblis punya perangai  buat kucing macam itu zzzzzzzz tidak sanggup aku tegak ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
111;"\xe2\x80\x9c. . .\xe2\x80\x9d\n\nTerik matahari hendak menyeruak menerobos indera penglihatannya. Sosok asing itu lantas terbangun; sesekali mengeluh tidak nyaman dengan tubuhnya.\n\nRasanya tidak nyaman...\n\n\xe2\x80\x9cNgh...\xe2\x80\x9d sosok berambu";0;0;0;0;0;0;0;0;0;0;0;0; terik matahari hendak menyeruak menerobos indera penglihatannya sosok asing itu lantas terbangun sesekali mengeluh tidak nyaman dengan tubuhnya rasanya tidak nyaman  sosok berambu;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
116;USER Sore Kak Saiful, boleh di restart dulu modem sama STB nya ya. Soalnya mimin cek jaringannya terkoneksi cuma sedikit melambat. Ditunggu kabar baiknya. Thx -Ardil';0;0;0;0;0;0;0;0;0;0;0;0;user sore kakak saiful boleh di restart dulu modem sama set top box   soalnya admin cek jaringannya terkoneksi hanya sedikit melambat ditunggu kabar baiknya terima kasih ardil ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;USER USER USER USER USER Kalau kata guru ngaji saya, disuruh perbanyak baca alhamdulillah. Biar hidup jadi ayem. Kalo temen saya orang katolik, dia banyak memuji2 Tuhan \xf0\x9f\x98\x8a';0;0;0;0;0;0;0;0;0;0;0;0;user user user user user kalau kata guru mengaji saya disuruh perbanyak baca alhamdulillah biar hidup jadi ayem kalau teman saya orang katolik dia banyak memuji muji tuhan ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135;"Uncivilized coward citizen doing coward thing and their Minister showing the same coward response. #cowards #ShameOnYouSyedSaddiq
#shameonyoumalaysia  https://twitter.com/CNNIndonesia/status/1197735033840103424ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;1;0;uncivilized coward citizen doing coward thing and their minister showing the sama coward response cowards shame on you syed saddiq shame on you malaysia ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
147;I'm from small village and I know how hard to be kampungan in people eyes and learned from it;0;1;0;0;0;0;0;0;0;0;0;0;i sama from small village and i know how hard to be kampungan in people eyes and learned from it;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
