Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict;OOV
1;"GANTENG TAPI BERENGSEK!!! BUAT APA?!!
WHO DO YOU THINK YOU ARE? YOU'RE NOTHING!! TO ME! << REMEMBER THIS!!";1;1;1;0;0;0;0;0;1;1;0;0;ganteng tapi berengsek buat apa who do you think you are you re nothing to me remember this ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
49;USER Hasil revolusi mental kenapa jadi pada cacat mental... Optimis 2019 ganti presiden.';1;1;1;0;0;0;1;0;0;1;0;0;user hasil revolusi mental kenapa jadi pada cacat mental optimis ganti presiden ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
69;USER emg produk cina \xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf';0;0;0;0;0;0;0;0;0;0;0;0;user memang produk cina ;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;
105;Disebut Kampungan Oleh Nagita Slavina, Begini Reaksi Ayu Ting Ting URL;0;0;0;0;0;0;0;0;0;0;0;0;disebut kampungan oleh nagita slavina begini reaksi ayu ting ting url;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
108;USER USER USER USER USER USER USER Sampah;1;1;1;0;0;0;0;0;1;1;0;0;user user user user user user user sampah;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
163;RT USER Nanti ada rezim Indonesia islam rezim amerika Kristen ujung-ujungnya islam vs budha vs Kristen vs hindu senang kah anda?;1;0;1;0;1;0;0;0;0;1;0;0;rt user nanti ada rezim indonesia islam rezim amerika kristen ujung ujungnya islam lawan buddha lawan kristen lawan hindu senang  kamu ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
170;Mereka cuma tau lo brengsek! tp bagi gue lo itu nggak seperti yg mereka omongin, dan gue yakin lo pasti bisa berubah. :)';0;1;0;0;0;0;0;0;0;0;0;0;mereka hanya tau kamu berengsek tetapi bagi aku kamu itu tidak seperti  mereka membicarakan dan aku yakin kamu pasti bisa berubah ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
198;Udah sinting URL;0;1;0;0;0;0;0;0;0;0;0;0;sudah sinting url;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;
235;Ini pasti salah Jokowi, Ahok dan kafir-kafir ateis. URL;1;1;0;1;1;0;0;0;0;0;1;0;ini pasti salah jokowi ahok dan kafir kafir ateis url;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;
248;Indonesia vs Malaysia ??? That is not Malaysian team. All of it definitely Indian. Not malay. #ShameOnYouMalaysia #SeaGames2017;0;0;0;0;0;0;0;0;0;0;0;0;indonesia lawan malaysia that is not malaysian tim all of it definetly indian not malaysia shame on you malaysia sea games ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
