Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict;OOV
3;"Does insulting one for being ""Cina"", ""Kafir"", make you a better Muslim?";0;1;0;0;0;0;0;0;0;0;0;0;does insulting one for being cina kafir make you a better muslim ;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;insulting, a
6;USER Khan yg ngajarin si garong kafir';1;1;1;0;1;0;0;0;0;1;0;0;user   mengajarkan  garong kafir ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;garong
9;"USER Udah siap di demo berjilid2 sama bani cingkrang ? Malaysia memberlakukan syariat Islam, tapi melegalkan perjudian dengan berbagai syarat dan ketentuan yg ""strict"".'";0;0;0;0;0;0;0;0;0;0;0;0;user sudah siap di demo berjilid jilid sama bani cingkrang malaysia memberlakukan syariat islam tapi melegalkan perjudian dengan berbagai syarat dan ketentuan  strict ;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;berjilid, cingkrang, memberlakukan, melegalkan, perjudian, ketentuan, strict
12;USER Jancuk! Pingin gue tabok itu anak';1;1;1;0;0;0;0;0;1;1;0;0;user jancuk ingin aku tabok itu anak ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;tabok
19;I like you. You like him, itukan berengsek :3 #nyampah;0;1;0;0;0;0;0;0;0;0;0;0;i like you you like him itu  berengsek menyampah;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;i, menyampah
25;USER Astagaaa.. Sewa pecun skalian ga pak?';0;1;0;0;0;0;0;0;0;0;0;0;user astaga sewa pecun sekalian tidak pak ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;sewa
31;Pantes idiot makananya upil URL;0;1;0;0;0;0;0;0;0;0;0;0;pantas idiot makanannya upil url;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;makanannya
33;"When you cheat and ""win"" you've distinguished yourself as a LOSER!  #ShameOnYouMalaysia #SEAGames2017";1;0;0;1;0;0;0;0;1;0;1;0;when you cheat and menang you ve distinguished yourself as a loser shame on you malaysia sea games ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;distinguished, a
35;No pork is najis or dirty. It is considered akin to drinking urine. At least in sub continent context. So that is the reason it being the final barrier. Other things are more like temptations.;0;0;0;0;0;0;0;0;0;0;0;0;no pork is najis orang dirty it is considered akin to drinking urine at least in sub continent context so that is the reason it being the final barrier other berpikir are more like temptations ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;pork, akin, drinking, urine, sub, continent, barrier, temptations
39;educate your self a lil before saying things like this. Upin Ipin movie and Munafik doing so well here. It's 2020, narrow minded mind stay behind.;1;0;1;0;0;0;0;0;1;1;0;0;educate your self a little sebelum saying berpikir like this upin ipin film and munafik doing so well here it narrow minded mind stay behind ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;educate, a, upin, ipin, narrow
40;anyway wht can u do if i tell you about all the problems we face? u will keep on supporting umno and try to defend them. pls just fuck off from my mentions and go study about ur stupid lovely umno. study lah dr era tunku, tun m, najib. umno bangsat! sekian,,,,;1;1;1;0;0;0;0;0;1;1;0;0;anyway what can kamu do if i tell you about all the problems we face kamu will keep on supporting umno and try to defend them tolong just fuck off from my mentions and go study about kamu bodoh lovely umno study  dari era tunku tun sama najib umno bangsat sekian ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;i, defend, mentions, study, lovely, study, tunku
41;Kok cuma cina non muslim yg dibantai? Tuh si USER jg cina, usir jg dong.;1;0;0;1;1;1;0;0;0;0;0;1; hanya cina non muslim  dibantai itu  user juga cina usir juga  ;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;dibantai
48;"I know. I hate her because she looks bitchy and really ""kampungan"" and she's always stuck with me everywhere I go (mostly on school) ugh";1;1;1;0;0;0;0;1;0;1;0;0;i know i hate her because she looks bitchy and really kampungan and she always stuck dengan me everywhere i go paling banyak on school ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;i, i, bitchy, stuck, i
53;Kejar setoran ke cina sebelum pak Djarot lengser. Rezim jongos cina sangat membahayakan bangsa & negara, hukum, UU dan Konstitusi dilabrak;1;1;1;0;0;1;0;0;0;1;0;0;kejar setoran ke cina sebelum pak djarot lengser rezim jongos cina sangat membahayakan bangsa negara hukum undang undang dan konstitusi dilabrak;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;kejar, setoran, membahayakan, dilabrak
59;USER USER USER USER USER USER USER USER USER USER USER USER itu BEM SI yg di ITB kemana ya suaranya ? jangan2 ikut razim cebong';1;1;0;1;0;0;0;0;1;0;1;0;user user user user user user user user user user user user itu badan eksekutif mahasiswa   di institut teknologi bandung kemana  suaranya jangan jangan ikut rezim kecebong ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;eksekutif, institut
66;And who was the Prime Minister at that time? Surprise, surprise.....  One can only guess.... And who is the acting education Minister nowadays?..... Atok Munafik Laknatullah. During Najib, this was not even a problem.;1;0;1;0;0;0;0;0;1;1;0;0;and who was the prime minister at that time surprise surprise one can only guess and who is the acting education minister nowadays atok munafik laknatullah during najib this was not even a problem ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;prime, surprise, surprise, acting, education, atok, a
67;"Kemacetan makin menggila. ; Karena pertumbuhan mobilmotor 8X dari pertumbuhan jalan. ; Ganti presidenpun tak akan bisa kurangi kemacetan ini.; Tapi dg ganti presiden minimal bisa mengurangi kemacetan yg lain. ; Jadi? Tetap #2019GantiPresiden";1;0;1;0;0;0;0;0;1;1;0;0;kemacetan semakin menggila karena pertumbuhan mobil motor x dari pertumbuhan jalan ganti presidenpun tidak akan bisa kurangi kemacetan ini tapi dengan ganti presiden minimal bisa mengurangi kemacetan  lain jadi tetap ganti presiden;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;kemacetan, menggila, x, presidenpun, kemacetan, kemacetan
72;USER ada. temen kerja. mirip kang daniel BRENGSEK\n\ntrus temen sekolah dulu, mirip jongin BRENGSEK (2)\n\nada lg temen deket gw, mirip seokjin BRENGSEK (3)\n\nintinya temen gw brengsek semua';1;1;1;0;0;0;0;0;1;1;0;0;user ada teman kerja mirip kakak daniel berengsek terus teman sekolah dulu mirip jongin berengsek ada lagi teman dekat aku mirip seok jin berengsek intinya teman aku berengsek semua ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;daniel, jongin, seok
73;USER Jempolnya kelebihan bacot';0;1;0;0;0;0;0;0;0;0;0;0;user jempolnya kelebihan bacot ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;jempolnya, kelebihan
85;USER apa? vin? gimana gimana? mata gue budek gabisa baca';0;0;0;0;0;0;0;0;0;0;0;0;user apa vin bagaimana bagaimana mata aku budek tidak bisa baca ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;vin
86;"USER ;\xe2\x80\x94 USER \n\n""Capek gue belajar terus.""\n""Bentar gue nak berak wkwk.""\n""Kunci motor yang mana?"" padahal motor elu sompret.\n""Mau greenteaaaaa.""\n""Pocky greentea.""\n""Pejoy greentea.""\n""I love you.""\n""Biar yang lain ninggalin gue, asal jangan lo.""\n""APASIH STORY NYA ITUUU GUE MUTE AJA.""'";0;1;0;0;0;0;0;0;0;0;0;0;user user lelah aku belajar terus bentar aku nak berak  kunci motor  mana padahal motor kamu sompret mau green tea pocky green tea pejuh green tea i love you biar  lain meninggalkan aku asal jangan kamu apa  cerita  itu aku mute saja ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;kunci, green, tea, pocky, green, tea, green, tea, i
88;"USER Hoax...; Kodok...; Biawak....; meroket...; sekop...; Bangsat...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019PresidenBaru; ; #2019TenggelamkanJokowiKesungaiSiak";1;1;0;1;0;1;0;0;0;0;1;0;user hoaks kodok biawak meroket sekop bangsat karbitan munafik ganti presiden presiden baru tenggelamkan jokowi ke sungai siak;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;biawak, sekop, karbitan, siak
92;RT USER: Tuh kayak fist travel sm abu tour yg gelapin uang jamaah umroh\nNah itu jelas2 melecehkan napa kamu diem aja?\nIni orang\xe2\x80\xa6';0;0;0;0;0;0;0;0;0;0;0;0;rt user itu kayak fist travel sama abu tour  gelapi duit jamaah umrah  itu jelas jelas melecehkan kenapa kamu diam saja ini orang ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;fist, gelapi
96;"i just dont fucking undestand with these fucking bantek players
MAIN KEK ANJING, SLAM STEER SEENAK JIDAT LO, LO PENCET AJA TERUS ITU VIEW BUTTON AMPE HANCUR GOBLOK  pic.twitter.com/gCaOODhdbA";1;1;0;1;0;0;0;0;1;0;1;0;i just do not fuck undestand dengan these fuck bantek players main seperti anjing salam steer seenak jidat kamu kamu pencet saja terus itu view button sampai hancur goblok ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;i, undestand, bantek, steer, pencet, button
100;Puisi kampungan! Sudahlah bodoh ilmu dunia, bodoh pula ilmu agamanya. Innalillahi';1;1;1;0;1;0;0;0;0;1;0;0;puisi kampungan sudahlah bodoh ilmu dunia bodoh pula ilmu agamanya innalillahi ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;innalillahi
103;Blokir CINA? - Telegram diblokir krn jokowi tuduh digunakan teroris. Sabu asal Cina. Apa Cina kita usir saja sesuai dgn cara berpikir rezim?;1;0;0;1;0;1;0;0;0;0;1;0;blokir cina telegram diblokir karena jokowi tuduh digunakan teroris sabu asal cina apa cina kita usir saja sesuai dengan cara berpikir rezim ;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;telegram, diblokir, sabu
107;USER nggak, terlalu berlebihan, cukup butuh presiden yang gak takut miskin harta,hilang kuasa dan tahta!;0;0;0;0;0;0;0;0;0;0;0;0;user tidak terlalu berlebihan cukup butuh presiden  tidak takut miskin harta hilang kuasa dan tahta ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;tahta
109;Ahok cari - cari celah untuk serang para saksi DramaAhokDikriminalisasi penjarakan ahok;1;0;1;0;0;0;0;0;1;0;0;1;ahok cari cari celah untuk serang para saksi drama ahok dikriminalisasi penjarakan ahok;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;celah, dikriminalisasi
120;RT USER: Om ini \xf0\x9f\x91\x87 mengoda banget pamer kontol besar bikin pikiran terbawa arus cinta \xf0\x9f\x92\x98 URL;0;1;0;0;0;0;0;0;0;0;0;0;rt user om ini menggoda banget pamer kontol besar buat pikiran terbawa arus cinta url;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;menggoda, terbawa
122;"Sounds so familiar ""it's not against Islam, it's against HTI and FPI"" and then...

they started complain about adzan, spread propaganda moslem are radicalist and extremist, take down all ""tauhid"" flags and banners, blocked our ulama (teachers)

Same old stories...  https://twitter.com/SyedIbrahim1137/status/1041166820265394176ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;1;0;sounds so familiar it not against islam it against hizbut tahrir indonesia and front pembela islam and then they started complain about azan spread propaganda moslem are radicalist and extremist take down all tauhid flags and banners blokir our ulama teachers sama old stories ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;familiar, complain, radicalist, extremist, tauhid, flags, banners, teachers
123;USER Gak ada gunanya berdebat...klo tujuannya semata mata hanya ingin mempengaruhi citra menjadi baik atau buruk..baik dan buruk itu bukan pakai bacot..hanya setanlah yg mengucapkan kebencian agar orang terpengaruh...muak lihat tingkah polah mereka..';0;1;0;0;0;0;0;0;0;0;0;0;user tidak ada gunanya berdebat kalau tujuannya semata mata cuma ingin mempengaruhi citra menjadi baik atau buruk baik dan buruk itu bukan pakai bacot cuma setanlah  mengucapkan kebencian agar orang terpengaruh muak lihat tingkah polah mereka ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;gunanya, berdebat, tujuannya, setanlah, terpengaruh, tingkah, polah
124;You may call me a racist, but I'd love to say... Yahudi bangsat!!;1;1;0;1;1;0;0;0;0;0;1;0;you mau call me a racist but i di love to say yahudi bangsat ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;a, i
126;RT USER USER kebesaran jiwa anies?? yang ada kebesaran ego dan ambisi. liat cara kampanyenya yang brutal 11 12 ama sandi;1;0;1;0;0;0;0;0;1;1;0;0;rt user user kebesaran jiwa anies  ada kebesaran bego dan ambisi lihat cara kampanyenya  brutal sama sandi;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;kebesaran, kebesaran, ambisi
127;RT USER tapi kenyataanya jutaan rakyat kecil asli pribumi yg miskin justru semakin dimiskinkan oleh ahok cina kafir....;1;1;1;0;1;1;0;0;0;1;0;0;rt user tapi kenyataanya jutaan rakyat kecil asli pribumi  miskin justru semakin dimiskinkan oleh ahok cina kafir ;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;kenyataanya, dimiskinkan
128;Agree, and most of Kadal Gurun stand for the opposite, Just trying to escalate the context with what had happened these days in Indonesia with radicalist, over religious, fanatics and bigot. Still can relate right?;1;0;0;1;0;0;0;0;1;0;1;0;agree and paling of kadal gurun stand for the opposite just trying to escalate the context dengan apa had happened these day in indonesia dengan radicalist over religious fanatics and bigot still can relate right ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;opposite, escalate, radicalist, fanatics, bigot
130;USER Jika ada tokoh agama, Lalu berpolitik praktis untuk jabatan2 publik?, Dengan menggunakan identitas keagamaan?. ?. Itu di lingkungan agama Budha, Ibaratkan ada yang mengaku biksu, Tetapi makan daging iya, Minum miras pun iya, Bahkan berkeluarga;1;0;0;1;1;0;0;0;0;0;1;0;user jika ada tokoh agama lalu berpolitik praktis untuk jabatan jabatan publik dengan menggunakan identitas keagamaan itu di lingkungan agama buddha ibaratkan ada  mengaku biksu tetapi makan daging iya minum minuman keras  iya bahkan berkeluarga;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;praktis, ibaratkan, biksu, berkeluarga
133;USER USER yang bikin Reklamasi kunjungan anda,yg dapat duit dari para cukong junjungan anda..USER nyetop eh dibilang lanjut..sipit songong!!';1;1;1;0;0;1;0;0;0;1;0;0;user user  buat reklamasi kunjungan kamu  dapat duit dari para cukong junjungan kamu user menyetop  dibilang lanjut sipit songong ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;menyetop, songong
137;USER org sipit mu ngrusak moral ank kcil kaga tanggung2 bikin video semua persi ada .';0;0;0;0;0;0;0;0;0;0;0;0;user orang sipit mu merusak moral anak kecil tidak tanggung tanggung buat video semua persi ada ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;persi
140;"dulu guru ngaji sering bilang ""Kalian jangan main sepak bola karena sepak bola itu olah raganya pki"" sdh dikatain antek komunis sejak kecil";1;0;1;0;0;1;0;0;0;1;0;0;dulu guru mengaji sering bilang kalian jangan main sepak bola karena sepak bola itu olah raganya partai komunis indonesia sudah diejek antek komunis sejak kecil;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;raganya
142;USER Rezim sekrng ini brupaya mncuci otak generasi kita agar mlpakn sejarah..seakan2 bpknyalah yg hebat mlh mi d samakan dgn tuhan...\nRezim kacang lupa kulitnya, \nMlh mnjdi pemuja aseng dan anjing2 komunis itu..';0;0;0;0;0;0;0;0;0;0;0;0;user rezim sekarang ini berupaya mencuci otak generasi kita agar melupakan sejarah seakan akan bapaknyalah  hebat malah mi di samakan dengan tuhan rezim kacang lupa kulitnya malah menjadi pemuja asing dan anjing anjing komunis itu ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;berupaya, mencuci, melupakan, bapaknyalah, mi, kacang, kulitnya, pemuja
146;Radicalism is like a deadly virus, stop it before it kills you. Well done  USER for banning HTI & FPI, make your country wonderful again!;1;0;0;1;1;0;0;0;0;0;1;0;radicalism is like a deadly virus stop it sebelum it kills you well done user for banning hizbut tahrir indonesia front pembela islam make your country wonderful again ;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;a, deadly, kills, banning, wonderful
149;Pas lg makan dpt omelan itu rasanya seperti makan tai kucing dipagi hari.\nGak pake ngunyah, asal telen aja biar cpt abis ini sarapan';0;1;0;0;0;0;0;0;0;0;0;0;pas lagi makan dapat omelan itu rasanya seperti makan tai kucing di pagi hari tidak pakai mengunyah asal telan saja biar cepat habis ini sarapan ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;omelan, mengunyah, telan
151;KPK banyak semrawut juga goblok...bubarkan saja c USER toh banyak kasus mengambang begitu saja..hahh haram URL;1;1;0;1;0;0;0;0;1;0;0;1;komisi pemberantasan korupsi banyak semrawut juga goblok bubarkan saja c user  banyak kasus mengambang begitu saja  haram url;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;semrawut, c, mengambang
152;Kalo badan ue bisa ngomong:\n\xe2\x80\x9cHoi lu ngga denger tulang gue bunyi semua? Mata gue lelah liatin layar mele! Tangan capek ngetik mele? Heh budek apa lu?!\xe2\x80\x9d\n\n\xe2\x80\x9cGue denger bego!! Maafin ue\xe2\x80\x9d \xf0\x9f\x98\xad\xf0\x9f;1;1;1;0;0;0;1;0;0;1;0;0;kalau badan aku bisa bicara  kamu tidak dengar tulang aku bunyi semua mata aku lelah lihat layar melulu tangan lelah mengetik melulu he budek apa kamu aku dengar bego maafkan aku ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;layar
162;That's why we dont argue with FPI and another narrow minded religious people such as HTI. #QOTD Good night lads :) pic.twitter.com/ShQKVC0jta;1;0;0;1;1;0;0;0;0;0;1;0;that kenapa we do not argue dengan front pembela islam and another narrow minded religious people such as hizbut tahrir indonesia qotd good night lady ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;argue, narrow, qotd, lady
166;orang-orang ini ajaib..yg makan duit siapa,yg nipu siapa, mau demo ke pemerintah..ujung-ujungnya dipolitisasi turunkan jokowi..haha. gila!!;1;0;1;0;0;0;0;0;1;1;0;0;orang orang ini ajaib  makan duit siapa  menipu siapa mau demo ke pemerintah ujung ujungnya dipolitisasi turunkan jokowi  gila ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;ajaib, dipolitisasi
167;Potret Rezim Jokowi anti pd umat islam bkn sj di indonesia yg dipimpin tpi bahkan dinegara lain sptr Myanmar skrg;1;0;1;0;0;0;0;0;1;1;0;0;potret rezim jokowi anti pada umat islam bukan saja di indonesia  dipimpin tetapi bahkan dinegara lain seputar myanmar sekarang;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;potret, dinegara, seputar
