Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict;
1;"GANTENG TAPI BERENGSEK!!! BUAT APA?!!
WHO DO YOU THINK YOU ARE? YOU'RE NOTHING!! TO ME! << REMEMBER THIS!!";1;1;1;0;0;0;0;0;1;1;0;0;ganteng berengsek think nothing remember;0;1;0;0;0;0;0;0;0;0;0;0;makna
6;USER Khan yg ngajarin si garong kafir';1;1;1;0;1;0;0;0;0;1;0;0;user ajar garong kafir;1;1;0;1;1;0;0;0;0;0;1;0;makna
9;"USER Udah siap di demo berjilid2 sama bani cingkrang ? Malaysia memberlakukan syariat Islam, tapi melegalkan perjudian dengan berbagai syarat dan ketentuan yg ""strict"".'";0;0;0;0;0;0;0;0;0;0;0;0;user demo jilid jilid ban cingkrang malaysia laku syariat islam legal judi syarat strict;1;0;0;1;0;0;0;0;1;0;1;0;pelabelan
10;Hamdalah. Kelar juga ini fitur keparat.';0;1;0;0;0;0;0;0;0;0;0;0;hamdalah selesai fitur keparat;1;1;0;1;0;0;0;0;1;0;1;0;makna
12;USER Jancuk! Pingin gue tabok itu anak';1;1;1;0;0;0;0;0;1;1;0;0;user jancuk tabok anak;0;1;0;0;0;0;0;0;0;0;0;0;makna
22;RT USER: Ya, saya bajingan\nTERIMA KASIH';0;1;0;0;0;0;0;0;0;0;0;0;user bajing terima kasih;1;1;1;0;0;0;0;0;1;1;0;0;makna
35;No pork is najis or dirty. It is considered akin to drinking urine. At least in sub continent context. So that is the reason it being the final barrier. Other things are more like temptations.;0;0;0;0;0;0;0;0;0;0;0;0;pork najis orang dirty consider akin drink urine least sub continent context reason final barrier pikir like temptation;0;1;0;0;0;0;0;0;0;0;0;0;makna
39;educate your self a lil before saying things like this. Upin Ipin movie and Munafik doing so well here. It's 2020, narrow minded mind stay behind.;1;0;1;0;0;0;0;0;1;1;0;0;educate self little say pikir like upin ipin film munafik well narrow mind mind stay behind;0;0;0;0;0;0;0;0;0;0;0;0;makna
40;anyway wht can u do if i tell you about all the problems we face? u will keep on supporting umno and try to defend them. pls just fuck off from my mentions and go study about ur stupid lovely umno. study lah dr era tunku, tun m, najib. umno bangsat! sekian,,,,;1;1;1;0;0;0;0;0;1;1;0;0;anyway tell problem face keep support umno try defend tolong fuck mention go study bodoh lovely umno study era tun tun najib umno bangsat sekian;0;1;0;0;0;0;0;0;0;0;0;0;makna
41;Kok cuma cina non muslim yg dibantai? Tuh si USER jg cina, usir jg dong.;1;0;0;1;1;1;0;0;0;0;0;1;cina non muslim bantai user cina usir;1;0;0;1;0;1;0;0;0;0;0;1;makna
42;Dear Malaysia,stop claiming Indonesia's cultures! It just make your country seems like an idiot! #TorTorPunyaIndonesia #MalaysiaMiskinBudaya;1;1;0;1;0;0;0;0;1;0;1;0;dear malaysia stop claim indonesia culture make country seem like idiot tortor indonesia malaysia miskin budaya;1;0;0;1;0;0;0;0;1;0;1;0;makna
48;"I know. I hate her because she looks bitchy and really ""kampungan"" and she's always stuck with me everywhere I go (mostly on school) ugh";1;1;1;0;0;0;0;1;0;1;0;0;know hate look bitchy really kampung always stick everywhere go pal school;0;1;0;0;0;0;0;0;0;0;0;0;makna
49;USER Hasil revolusi mental kenapa jadi pada cacat mental... Optimis 2019 ganti presiden.';1;1;1;0;0;0;1;0;0;1;0;0;user hasil revolusi mental cacat mental optimis ganti presiden;0;0;0;0;0;0;0;0;0;0;0;0;makna
52;USER USER Aku gr baru tau kemarin si banci eta trh wkwkwk';0;1;0;0;0;0;0;0;0;0;0;0;user user tau kemarin banci eta trh;1;1;1;0;0;0;0;1;0;1;0;0;makna
59;USER USER USER USER USER USER USER USER USER USER USER USER itu BEM SI yg di ITB kemana ya suaranya ? jangan2 ikut razim cebong';1;1;0;1;0;0;0;0;1;0;1;0;user user user user user user user user user user user user badan eksekutif mahasiswa institut teknologi bandung suara rezim kecebong;0;0;0;0;0;0;0;0;0;0;0;0;makna
61;Fuck you, i'd raid for giratina three times, but i didn't get anyhing anjing kau bangsat,,,,;1;1;1;0;0;0;0;0;1;1;0;0;fuck raid giratina three time get anything anjing bangsat;0;1;0;0;0;0;0;0;0;0;0;0;makna
66;And who was the Prime Minister at that time? Surprise, surprise.....  One can only guess.... And who is the acting education Minister nowadays?..... Atok Munafik Laknatullah. During Najib, this was not even a problem.;1;0;1;0;0;0;0;0;1;1;0;0;prime mister time surprise surprise one guess act education mister nowadays atok munafik laknatullah najib even problem;0;0;0;0;0;0;0;0;0;0;0;0;makna
67;"Kemacetan makin menggila. ; Karena pertumbuhan mobilmotor 8X dari pertumbuhan jalan. ; Ganti presidenpun tak akan bisa kurangi kemacetan ini.; Tapi dg ganti presiden minimal bisa mengurangi kemacetan yg lain. ; Jadi? Tetap #2019GantiPresiden";1;0;1;0;0;0;0;0;1;1;0;0;macet gila tumbuh mobil motor x tumbuh jalan ganti presiden macet ganti presiden minimal macet lie ganti presiden;0;0;0;0;0;0;0;0;0;0;0;0;makna
72;USER ada. temen kerja. mirip kang daniel BRENGSEK\n\ntrus temen sekolah dulu, mirip jongin BRENGSEK (2)\n\nada lg temen deket gw, mirip seokjin BRENGSEK (3)\n\nintinya temen gw brengsek semua';1;1;1;0;0;0;0;0;1;1;0;0;user teman kerja kakak daniel berengsek teman sekolah jongin berengsek teman seok jin berengsek inti teman berengsek;0;1;0;0;0;0;0;0;0;0;0;0;makna
74;USER mampus lu. kalah kan lawan gua';1;1;1;0;0;0;0;0;1;1;0;0;user mampus kalah lawan;1;1;0;1;0;0;0;0;1;0;1;0;makna
84;"This is so wrong in every level,
Ucapan natal no prob, ngewe juga gue ga munafik ya, but makan babi?
I was like, bruh are u still comfort in your religion? If not, then you can leave";0;1;0;0;0;0;0;0;0;0;0;0;salah every level natal prob ngewe munafik makan babi like buruh still comfort religion leave;0;0;0;0;0;0;0;0;0;0;0;0;makna
85;USER apa? vin? gimana gimana? mata gue budek gabisa baca';0;0;0;0;0;0;0;0;0;0;0;0;user vin mata budek baca;1;1;1;0;0;0;1;0;0;1;0;0;makna
86;"USER ;\xe2\x80\x94 USER \n\n""Capek gue belajar terus.""\n""Bentar gue nak berak wkwk.""\n""Kunci motor yang mana?"" padahal motor elu sompret.\n""Mau greenteaaaaa.""\n""Pocky greentea.""\n""Pejoy greentea.""\n""I love you.""\n""Biar yang lain ninggalin gue, asal jangan lo.""\n""APASIH STORY NYA ITUUU GUE MUTE AJA.""'";0;1;0;0;0;0;0;0;0;0;0;0;user user lelah ajar bentar nak berak kunci motor motor sompret green tea pocky green tea pejuh green tea love biar lie tinggal cerita mute;0;0;0;0;0;0;0;0;0;0;0;0;makna
88;"USER Hoax...; Kodok...; Biawak....; meroket...; sekop...; Bangsat...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019PresidenBaru; ; #2019TenggelamkanJokowiKesungaiSiak";1;1;0;1;0;1;0;0;0;0;1;0;user hoaks kodok biawak roket sekop bangsat karbitan munafik ganti presiden presiden tenggelam jokowi sungai siak;1;0;1;0;0;0;0;0;1;1;0;0;makna
96;"i just dont fucking undestand with these fucking bantek players
MAIN KEK ANJING, SLAM STEER SEENAK JIDAT LO, LO PENCET AJA TERUS ITU VIEW BUTTON AMPE HANCUR GOBLOK  pic.twitter.com/gCaOODhdbA";1;1;0;1;0;0;0;0;1;0;1;0;fuck undestand fuck bantek player main anjing salam steer enak jidat pencet view button hancur goblok;0;1;0;0;0;0;0;0;0;0;0;0;makna
99;BANGSAT BANGET HE KNOW HE THICC HE KNOW HE THE AMERICA'S ASS THE FUCK DKENLEBEKEB  pic.twitter.com/TdgAZGS0fD,,,,;1;1;1;0;0;0;0;0;1;1;0;0;bangsat banget know thicc know america fuck dkenlebekeb;0;1;0;0;0;0;0;0;0;0;0;0;makna
100;Puisi kampungan! Sudahlah bodoh ilmu dunia, bodoh pula ilmu agamanya. Innalillahi';1;1;1;0;1;0;0;0;0;1;0;0;puisi kampung bodoh ilmu dunia bodoh ilmu agama innalillahi;0;1;0;0;0;0;0;0;0;0;0;0;makna
103;Blokir CINA? - Telegram diblokir krn jokowi tuduh digunakan teroris. Sabu asal Cina. Apa Cina kita usir saja sesuai dgn cara berpikir rezim?;1;0;0;1;0;1;0;0;0;0;1;0;blokir cina telegram blokir jokowi tuduh teroris sabu cina cina usir sesuai pikir rezim;0;0;0;0;0;0;0;0;0;0;0;0;
104;USER aku tak tahu bahasa indon but SIALAN KOK MASIH BERKATA KATA LU BAJINGAN URL;1;1;1;0;0;0;0;0;1;1;0;0;user bahasa indonesia sial bajing;0;1;0;0;0;0;0;0;0;0;0;0;
105;Disebut Kampungan Oleh Nagita Slavina, Begini Reaksi Ayu Ting Ting URL;0;0;0;0;0;0;0;0;0;0;0;0;kampung nagita slavina reaksi ayu ting ting;0;1;0;0;0;0;0;0;0;0;0;0;
108;USER USER USER USER USER USER USER Sampah;1;1;1;0;0;0;0;0;1;1;0;0;user user user user user user user sampah;0;0;0;0;0;0;0;0;0;0;0;0;
109;Ahok cari - cari celah untuk serang para saksi DramaAhokDikriminalisasi penjarakan ahok;1;0;1;0;0;0;0;0;1;0;0;1;ahok cari cari celah serang saksi drama ahok kriminalisasi penjara ahok;1;0;1;0;0;0;0;0;1;1;0;0;
120;RT USER: Om ini \xf0\x9f\x91\x87 mengoda banget pamer kontol besar bikin pikiran terbawa arus cinta \xf0\x9f\x92\x98 URL;0;1;0;0;0;0;0;0;0;0;0;0;user om goda banget pamer kontol pikir bawa arus cinta;0;0;0;0;0;0;0;0;0;0;0;0;
122;"Sounds so familiar ""it's not against Islam, it's against HTI and FPI"" and then...

they started complain about adzan, spread propaganda moslem are radicalist and extremist, take down all ""tauhid"" flags and banners, blocked our ulama (teachers)

Same old stories...  https://twitter.com/SyedIbrahim1137/status/1041166820265394176ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;1;0;sound familiar islam hizbut tahrir indonesia front bela islam start complain azan spread propaganda moslem radicalist extremist take tauhid flag banner blokir ulama teacher old story;1;0;0;1;1;0;0;0;0;0;1;0;
123;USER Gak ada gunanya berdebat...klo tujuannya semata mata hanya ingin mempengaruhi citra menjadi baik atau buruk..baik dan buruk itu bukan pakai bacot..hanya setanlah yg mengucapkan kebencian agar orang terpengaruh...muak lihat tingkah polah mereka..';0;1;0;0;0;0;0;0;0;0;0;0;user debat tuju mata pengaruh citra buruk buruk pakai bacot setan benci orang pengaruh muak lihat tingkah polah;1;1;1;0;0;0;0;0;1;1;0;0;
