Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0;kadang lihat kelas teman kampung minum anggur orang minum sederhana tani tonton film dengar ok peduli
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;nyata komunis also menang
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;bom kitd suami embel bom takut orangutan orangutan korban
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;sumpah kaya habis iya olimpiade pagelaran budaya
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;medium fungsi fungsi sosial indonesia review sebar fitnah review cerdas
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden duga korupsi e kartu tanda duduk calon gubernur jawa duga korupsi e kartu tanda duduk tindak ganti presiden presiden
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel ampun teroris nyata laknat allah zionis doa gaza doa palestina
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;omong kosong pergi yunani anggota buku dewan wakil rakyat jamin pelesir
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;happy anniversary gagal pria brengsek
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;anjing ayam kampus
USER Wisma darulaman. Kerja\xc2\xb2 banci. Lebih politik la\xf0\x9f\x98\x82';1;1;0;1;0;0;0;1;0;0;1;0;wisma darul aman kerja banci politik
Hari ini, Presiden Jokowi akan meninjau proyek Bandara Kertajati yg direncanakan akan beroperasi pada bulan Juni 2018. Pd tahap 1, kapasitas terminal bisa menampung 5 juta;0;0;0;0;0;0;0;0;0;0;0;0;nyanyi presiden jokowi tinjau proyek bandara kertajati rencana operasi juni tahap kapasitas terminal tampung juta
"Kalau Gotham City lokasinya di Indonesia, Harvey Dent mungkin akan bilang, ""You either die a hero for democracy or you live long enough to see yourself become the oligarch.""";0;0;0;0;0;0;0;0;0;0;0;0;kota gotham lokasi indonesia harvey dent bilang orang pahlawan demokrasi orang hidup lihat kuasa
".; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk SriÃ¢?Â¦";0;0;0;0;0;0;0;0;0;0;0;0;h imam munandar gubernur riau periode gelar datuk sri
USER Iya sih kek komunis banget wkwkwk';1;0;1;0;0;1;0;0;0;1;0;0;iya komunis banget
"4 Kebijakan Presiden Jokowi yg Bikin PNS Bahagia.; ; 1. Apartemen khusus bagi PNS. ; 2. THR lebih besar.; 3. Pensiunan dapat THR.; 4. PNS pria dapat cuti istri melahirkan. ; ; Fakta mana lg yg kalian dustakan.! ; ; #2019TetapJokowi ; ;";0;0;0;0;0;0;0;0;0;0;0;0;bijak presiden jokowi pegawai negeri sipil bahagia apartemen khusus pegawai negeri sipil tunjang raya gede pensiun tunjang raya pegawai negeri sipil pria cuti istri lahir fakta dusta jokowi
Gua sbnrnya paling males bagian yg ini \nHadeh tp kudu ye \n\nBuat admin bangsat gua cuma kenal jirapuncel sama xogentot awalnya orangnya humoris,goblok otaknya setengah,hadeh homoan nih org dua';0;1;0;0;0;0;0;0;0;0;0;0;pagar malas nyanyi iya admin bangsat kenal jirapuncel xogentot orang humoris goblok otak homo nih orangutan doa
Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan;1;0;1;0;0;1;0;0;0;1;0;0;usir pasang asing cina selamat hutan
RT USER USER USER Hahaha tereak2 cina lu gak ngaca ye junjungan lu itu keturunan etnis ape ?;1;0;1;0;0;1;0;0;0;1;0;0;teriak teriak cina kaca iya junjung turun etnis
USER Yg tebar nyir nyir apa itu bukan seperti teroris, emang teroris cm indentik hanya bom ???';0;0;0;0;0;0;0;0;0;0;0;0;tebar anjir anjir teroris teroris indentik bom
"according to temanku yg kafir dan cina, nabi yunus itu OG vorefag

which is true

fckn sand people i swear to god";0;1;0;0;0;0;0;0;0;0;0;0;teman kafir cina nabi yunus og vorefag orang pasir cinta sumpah tuhan
USER Alah bacot congor lu bau';1;1;1;0;0;0;1;0;0;1;0;0;bacot congor bau
\xe2\x80\x9cyang menyebabkan agama itu cacat ialah hawa nafsu.\xe2\x80\x9d - HR Asysyihaa;0;0;0;0;0;0;0;0;0;0;0;0;agama cacat hawa nafsu asysyihaab
His organization which is Islamic Defender Front or in Indonesia(Front Pembela Islam/FPI) supporting HTI(Hizbut Tahrir Indonesia) which is affiliate with ISIS(Islamic Global terrorism). learder of FPI, Rizieq often criticize Indonesia Goverment, who ban HTI organization.;1;0;0;1;1;0;0;0;0;0;1;0;organisasi islam bek orangutan indonesia front bela islam front bela islam dukung hizbut tahrir indonesia hizbut tahrir indonesia rupa afiliasi isi islam learder terorisme global bela islam rizieq kritik indonesia perintah larang hizbut tahrir indonesia organisasi
Wah klau di Indonesia bisa diboikot tuh banknya. Iran negara islam aja trima uang cina URL;1;0;0;1;0;1;0;0;0;0;1;0;indonesia boikot bank iran negara islam terima duit cina
Indonesia saat ini sedang darurat teroris, berbagai rentetan kejadian terorisme terjadi di Kota Surabaya dan Sidoarjo. Di Surabaya, bom meledak di 3 gereja dan mapolrestabes. Menurut artikel yg saya baca, pelaku dari aksi teror ini adalah 1 keluarga.\n.;0;0;0;0;0;0;0;0;0;0;0;0;indonesia darurat teroris different rentet terorisme kota surabaya sidoarjo surabaya bom ledak gereja markas polisi resor kota gede artikel baca laku aksi teror nyanyi keluarga
HahhahaHhH.... Fuck n miss all of you... Bangsat!!! Nazif chivas... Farouqy mabookkkk...,,,,;0;1;0;0;0;0;0;0;0;0;0;0;rindu bangsat nazif chivas farouqy mabuk
RT USER USER USER USER Bener kamu ngga ada apa-apa nya;1;0;1;0;0;0;0;0;1;1;0;0; 
USER USER Bencong tu apa';0;0;0;0;0;0;0;0;0;0;0;0;bencong
Emang kalo temennya makan sampah kita jg harus makan sampah gtu? Kan gk sih ya.';0;0;0;0;0;0;0;0;0;0;0;0;teman makan sampah kitd also makan sampah
percuma dapat banyak medali kalo ujung-ujungnya cuma diajak teriak KAFIR LENGSERKAN..;1;1;0;1;1;0;0;0;0;0;0;1;medali ujung ujung ajak teriak kafir lengser
"USER USER USER Santai aje bro..; ; Meski gue udah biasa diblock, tak satu pun akun yg gue block.; ; Meski ada Block Masela, Block Mahakam, Block East Natuna, Block East Kalimantan, Block Attaka, Block Kasuri, dll...; ; I don't car";0;0;0;0;0;0;0;0;0;0;0;0;santai bro blok akun blok blok blok mahakam blok east natuna blok timur kalimantan blok attaka blok kasur lie lie mobil
"Binaan Lapas Pasuruan Terancam Kehilangan Hak Pilih;";0;0;0;0;0;0;0;0;0;0;0;0;bina lembaga masyarakat pasuruan ancam hilang hak pilih
