Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0;kadang akan cukup baik untuk menunjukkan anda bagaimana untuk melihat berkelas tidak mau punya teman kampungan minum hanya anggur terbaik orang tidak minum ketika ia menjadi sederhana akan menemani anda untuk menonton film tidak mendengarkan anda bahwa banyak tapi akan tahu kapan kamu tidak ok karena ia sebenarnya peduli tentang kamu
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;ternyata komunis also can menangis
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;pengguna pengguna kenapa harus bom  seperti  benar menunjukkan kitd suami siapa dengan embel bom masih buat takut orangutan orangutan sebenarnya  apalagi keluar  menjadi korban
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;pengguna sumpah kaya kalau habis iya dilanjut olimpiade sama pagelaran budaya tidak  
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;media fungsi fungsi rt pengguna pengguna pengguna pengguna pengguna di sosial indonesia untuk review sebar fitnah di sebagai untuk review url kecerdasan
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden terduga korupsi e kartu tanda penduduk calon gubernur jawa tengahnya  terduga korupsi e kartu tanda penduduk tapi masih belum ditindak ganti presiden baru presiden
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel diampuni anda kembali teroris nyata laknat allah menantimu zionis berdoa untuk gaza berdoa untuk palestina
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;bagaimana kita tahu bahwa mereka hanya berkata pengguna rt omong kosong tetap pergi ke yunani anggota buku dewan perwakilan rakyat jamin tidak pelesiran
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;happy anniversary gagal bulan dengan pria brengsek
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;pengguna anjing benar benar ayam kampus  kamu
USER Wisma darulaman. Kerja\xc2\xb2 banci. Lebih politik la\xf0\x9f\x98\x82';1;1;0;1;0;0;0;1;0;0;1;0;pengguna wisma darul aman kerja banci lebih politik 
Hari ini, Presiden Jokowi akan meninjau proyek Bandara Kertajati yg direncanakan akan beroperasi pada bulan Juni 2018. Pd tahap 1, kapasitas terminal bisa menampung 5 juta;0;0;0;0;0;0;0;0;0;0;0;0;hari penyanyi presiden jokowi akan meninjau proyek bandara kertajati  direncanakan akan beroperasi pada bulan juni pada tahap kapasitas can terminal menampung juta
"Kalau Gotham City lokasinya di Indonesia, Harvey Dent mungkin akan bilang, ""You either die a hero for democracy or you live long enough to see yourself become the oligarch.""";0;0;0;0;0;0;0;0;0;0;0;0;kalau kota gotham lokasinya di indonesia harvey dent mungkin akan bilang anda baik dia seorang pahlawan demokrasi orang anda hidup cukup lama untuk melihat diri anda menjadi berkuasa 
".; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk SriÃ¢?Â¦";0;0;0;0;0;0;0;0;0;0;0;0;h imam munandar gubernur riau periode dan memperoleh sedangkan gelar datuk sri
USER Iya sih kek komunis banget wkwkwk';1;0;1;0;0;1;0;0;0;1;0;0;pengguna iya  seperti komunis banget 
"4 Kebijakan Presiden Jokowi yg Bikin PNS Bahagia.; ; 1. Apartemen khusus bagi PNS. ; 2. THR lebih besar.; 3. Pensiunan dapat THR.; 4. PNS pria dapat cuti istri melahirkan. ; ; Fakta mana lg yg kalian dustakan.! ; ; #2019TetapJokowi ; ;";0;0;0;0;0;0;0;0;0;0;0;0; kebijakan presiden jokowi  buat pegawai negeri sipil bahagia apartemen khusus bagi pegawai negeri sipil tunjangan hari raya lebih gede pensiunan dapat tunjangan hari raya pegawai negeri sipil pria dapat cuti istri melahirkan fakta mana lagi  kalian dustakan tetap jokowi
Gua sbnrnya paling males bagian yg ini \nHadeh tp kudu ye \n\nBuat admin bangsat gua cuma kenal jirapuncel sama xogentot awalnya orangnya humoris,goblok otaknya setengah,hadeh homoan nih org dua';0;1;0;0;0;0;0;0;0;0;0;0;aku sebenarnya pagar malas bagian  penyanyi  tetapi harus iya buat admin bangsat aku hanya kenal jirapuncel sama xogentot awalnya orangnya humoris goblok otaknya setengah  homoan nih orangutan doa
Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan;1;0;1;0;0;1;0;0;0;1;0;0;bersiap usir sepasang asing cina pengguna pengguna pengguna pengguna pengguna pengguna pengguna selamatkan hutan
RT USER USER USER Hahaha tereak2 cina lu gak ngaca ye junjungan lu itu keturunan etnis ape ?;1;0;1;0;0;1;0;0;0;1;0;0;rt pengguna pengguna pengguna  teriak teriak cina kamu tidak mengaca iya junjungan kamu itu keturunan etnis apa
USER Yg tebar nyir nyir apa itu bukan seperti teroris, emang teroris cm indentik hanya bom ???';0;0;0;0;0;0;0;0;0;0;0;0;pengguna  tebar anjir anjir apa itu bukan seperti teroris memang teroris cuma indentik cuma bom
"according to temanku yg kafir dan cina, nabi yunus itu OG vorefag

which is true

fckn sand people i swear to god";0;1;0;0;0;0;0;0;0;0;0;0;menurut temanku  kafir dan cina nabi yunus itu og vorefag  benar orang pasir bercinta saya sumpah kepada tuhan
USER Alah bacot congor lu bau';1;1;1;0;0;0;1;0;0;1;0;0;pengguna  bacot congor kamu bau
