Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed
"- kdg will be kind enough to show you how to look classy (gamau pny tmn kampungan)
- drinks only the finest wine or no drinking
- when he's being modest, will accompany you to watch movies
- doesnt listen to you that much but will know when ur not okay bcs he actually cares abt u";0;1;0;0;0;0;0;0;0;0;0;0;kadang akan cukup baik untuk tunjuk anda bagaimana untuk lihat kelas tidak mau punya teman kampung minum hanya anggur baik orang tidak minum ketika ia jadi sederhana akan tani anda untuk tonton film tidak dengar anda bahwa banyak tapi akan tahu kapan kamu tidak ok karena ia benar peduli tentang kamu
Ternyata komunis juga bisa nangis';0;0;0;0;0;0;0;0;0;0;0;0;nyata komunis also can menang
USER USER Kenapa harus bom ya? Kek yg benar nunjukin kita ini siapa. Dgn emabel \xe2\x80\x9cbom\xe2\x80\x9d masih bikin takut org org sbnr nya, apalagi klwr yg menjadi korban.';0;0;0;0;0;0;0;0;0;0;0;0;guna guna kenapa harus bom  seperti  benar tunjuk kitd suami siapa dengan embel bom masih buat takut orangutan orangutan benar  apalagi keluar  jadi korban
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw;0;0;0;0;0;0;0;0;0;0;0;0;guna sumpah kaya kalau habis iya lanjut olimpiade sama pagelaran budaya tidak  
RT USER USER USER USER USER fungsi media sosial di Indo unt sebar fitnah di AS unt kecerdasan URL;1;0;1;0;0;0;0;0;1;1;0;0;medium fungsi fungsi rt guna guna guna guna guna di sosial indonesia untuk review sebar fitnah di bagai untuk review url cerdas
Cawapres terduga korupsi e-ktp.. cagub jatengnya pun terduga korupsi e-ktp.. tapi msh blm ditindak? #2019GantiPresiden #2019PresidenBaru;1;0;1;0;0;0;0;0;1;1;0;0;calon wakil presiden duga korupsi e kartu tanda duduk calon gubernur jawa tengah  duga korupsi e kartu tanda duduk tapi masih belum tindak ganti presiden baru presiden
ISRAEL UNFORGIVEN !!! YOU'RE THE REAL TERRORIST !! LAKNAT ALLAH MENANTIMU ZIONIS !! #PrayForGaza #PrayForPalestine;1;1;0;1;0;0;0;0;1;0;1;0;israel ampun anda kembali teroris nyata laknat allah nanti zionis doa untuk gaza doa untuk palestina
How do we know that? They just said a BULLSHIT!! RT  USER: Tetap Pergi ke Yunani, Anggota BK DPR Jamin Tak Pelesiran  http://de.tk/0aKcX;1;1;0;1;0;0;0;0;1;0;1;0;bagaimana kita tahu bahwa mereka hanya kata guna rt omong kosong tetap pergi ke yunani anggota buku dewan wakil rakyat jamin tidak pelesir
Happy anniv failed 3bulan with cwo berengsek!;0;1;0;0;0;0;0;0;0;0;0;0;happy anniversary gagal bulan dengan pria brengsek
USER anjg bener bener ayam kampus ya lo';1;1;1;0;0;0;0;1;0;1;0;0;guna anjing benar benar ayam kampus  kamu
USER Wisma darulaman. Kerja\xc2\xb2 banci. Lebih politik la\xf0\x9f\x98\x82';1;1;0;1;0;0;0;1;0;0;1;0;guna wisma darul aman kerja banci lebih politik 
Hari ini, Presiden Jokowi akan meninjau proyek Bandara Kertajati yg direncanakan akan beroperasi pada bulan Juni 2018. Pd tahap 1, kapasitas terminal bisa menampung 5 juta;0;0;0;0;0;0;0;0;0;0;0;0;hari nyanyi presiden jokowi akan tinjau proyek bandara kertajati  rencana akan operasi pada bulan juni pada tahap kapasitas can terminal tampung juta
"Kalau Gotham City lokasinya di Indonesia, Harvey Dent mungkin akan bilang, ""You either die a hero for democracy or you live long enough to see yourself become the oligarch.""";0;0;0;0;0;0;0;0;0;0;0;0;kalau kota gotham lokasi di indonesia harvey dent mungkin akan bilang anda baik dia orang pahlawan demokrasi orang anda hidup cukup lama untuk lihat diri anda jadi kuasa 
".; H. Imam Munandar (Gubernur Riau periode 1980-1985 dan 1985-1990) memperoleh gelar Datuk SriÃ¢?Â¦";0;0;0;0;0;0;0;0;0;0;0;0;h imam munandar gubernur riau periode dan oleh sedang gelar datuk sri
USER Iya sih kek komunis banget wkwkwk';1;0;1;0;0;1;0;0;0;1;0;0;guna iya  seperti komunis banget 
"4 Kebijakan Presiden Jokowi yg Bikin PNS Bahagia.; ; 1. Apartemen khusus bagi PNS. ; 2. THR lebih besar.; 3. Pensiunan dapat THR.; 4. PNS pria dapat cuti istri melahirkan. ; ; Fakta mana lg yg kalian dustakan.! ; ; #2019TetapJokowi ; ;";0;0;0;0;0;0;0;0;0;0;0;0; bijak presiden jokowi  buat pegawai negeri sipil bahagia apartemen khusus bagi pegawai negeri sipil tunjang hari raya lebih gede pensiun dapat tunjang hari raya pegawai negeri sipil pria dapat cuti istri lahir fakta mana lagi  kalian dusta tetap jokowi
Gua sbnrnya paling males bagian yg ini \nHadeh tp kudu ye \n\nBuat admin bangsat gua cuma kenal jirapuncel sama xogentot awalnya orangnya humoris,goblok otaknya setengah,hadeh homoan nih org dua';0;1;0;0;0;0;0;0;0;0;0;0;aku benar pagar malas bagi  nyanyi  tetapi harus iya buat admin bangsat aku hanya kenal jirapuncel sama xogentot awal orang humoris goblok otak tengah  homo nih orangutan doa
Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan;1;0;1;0;0;1;0;0;0;1;0;0;siap usir pasang asing cina guna guna guna guna guna guna guna selamat hutan
RT USER USER USER Hahaha tereak2 cina lu gak ngaca ye junjungan lu itu keturunan etnis ape ?;1;0;1;0;0;1;0;0;0;1;0;0;rt guna guna guna  teriak teriak cina kamu tidak kaca iya junjung kamu itu turun etnis apa
USER Yg tebar nyir nyir apa itu bukan seperti teroris, emang teroris cm indentik hanya bom ???';0;0;0;0;0;0;0;0;0;0;0;0;guna  tebar anjir anjir apa itu bukan seperti teroris memang teroris cuma indentik cuma bom
"according to temanku yg kafir dan cina, nabi yunus itu OG vorefag

which is true

fckn sand people i swear to god";0;1;0;0;0;0;0;0;0;0;0;0;turut teman  kafir dan cina nabi yunus itu og vorefag  benar orang pasir cinta saya sumpah kepada tuhan
USER Alah bacot congor lu bau';1;1;1;0;0;0;1;0;0;1;0;0;guna  bacot congor kamu bau
\xe2\x80\x9cyang menyebabkan agama itu cacat ialah hawa nafsu.\xe2\x80\x9d - HR Asysyihaa;0;0;0;0;0;0;0;0;0;0;0;0; sebab agama itu cacat ialah hawa nafsu hari asysyihaab
His organization which is Islamic Defender Front or in Indonesia(Front Pembela Islam/FPI) supporting HTI(Hizbut Tahrir Indonesia) which is affiliate with ISIS(Islamic Global terrorism). learder of FPI, Rizieq often criticize Indonesia Goverment, who ban HTI organization.;1;0;0;1;1;0;0;0;0;0;1;0;organisasi  islam bek orangutan depan di indonesia front bela islam front bela islam dukung hizbut tahrir indonesia hizbut tahrir indonesia  rupa afiliasi dengan isi islam learder terorisme global bela depan islam rizieq sering kritik indonesia perintah  larang hizbut tahrir indonesia organisasi
Wah klau di Indonesia bisa diboikot tuh banknya. Iran negara islam aja trima uang cina URL;1;0;0;1;0;1;0;0;0;0;1;0; kalau di indonesia can boikot itu bank iran negara islam saja terima duit cina url
Indonesia saat ini sedang darurat teroris, berbagai rentetan kejadian terorisme terjadi di Kota Surabaya dan Sidoarjo. Di Surabaya, bom meledak di 3 gereja dan mapolrestabes. Menurut artikel yg saya baca, pelaku dari aksi teror ini adalah 1 keluarga.\n.;0;0;0;0;0;0;0;0;0;0;0;0;indonesia belum saat ini sedang darurat teroris different rentet jadi terorisme jadi di kota surabaya dan sidoarjo di surabaya bom ledak di gereja dan markas polisi resor kota gede turut artikel  saya baca laku dari aksi teror nyanyi adalah keluarga
HahhahaHhH.... Fuck n miss all of you... Bangsat!!! Nazif chivas... Farouqy mabookkkk...,,,,;0;1;0;0;0;0;0;0;0;0;0;0; apa dan rindu kalian semua bangsat nazif chivas farouqy mabuk
RT USER USER USER USER Bener kamu ngga ada apa-apa nya;1;0;1;0;0;0;0;0;1;1;0;0;rt guna guna guna guna benar kamu tidak ada apa apa 
USER USER Bencong tu apa';0;0;0;0;0;0;0;0;0;0;0;0;guna guna bencong itu apa
Emang kalo temennya makan sampah kita jg harus makan sampah gtu? Kan gk sih ya.';0;0;0;0;0;0;0;0;0;0;0;0;memang kalau teman makan sampah kitd also harus makan sampah begitu  tidak  
percuma dapat banyak medali kalo ujung-ujungnya cuma diajak teriak KAFIR LENGSERKAN..;1;1;0;1;1;0;0;0;0;0;0;1;percuma dapat banyak medali kalau ujung ujung hanya ajak teriak kafir lengser
