tweet,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
BANGSAT FUCK  https://twitter.com/MnetMAMA/status/1199252172455567361Â â€¦,,,,
"Yeah bitch you know what the fuck is going on, it's me flexing indomie jumbo bitchass, better than y'all ppl flexing bobba drink or a gift before exam hahaa #indomiegang

PS : gw kalo gaada indomie ini menderita bangsat ahahahahahaha :(  pic.twitter.com/N9OYjEBsaH",,,,
fuck couples they hurt.,,,,
"Fuck dengan masalah bangsa, what's with the ghetto accent??",,,,
christmas trees be chilling and just vibing and yall islam fanatic indons be hating on them like??? theyâ€™re just trees bangsat shut the fuck up and go do some shopping spree with them christmas discounts or sumn,,,,
FUCK OFF!,,,,
BANGSAT KONTOL ANJING AGH FUCK U AND UR FUCKED UP ASSHOLE U TIPSY WHORE,,,,
Bangsat!  Fuck!,,,,
BANGSAT JABLAY FUCK YOU MORON MOTHERFUCKER SON OF A BITCH,,,,
i'm in the mood to go to somewhere quiet and scream fuck and bangsat at the top of my lungs. OH and also!!! singing drown by bmth loudly,,,,
"fuck you ðŸ–•,go out bangsat #emeryoutnow  pic.twitter.com/9R4vtiiPm5",,,,
"A for anjing
B for bangsat
C for cok
D for dongo
F for fuck
G for goblok
H for hanjing
I for itil
J for jancok
K for kontol
L for lonte
M for memeq
N for ngentot
O for otol
P for pantek
Q for qintil
R for repe
S for setan
T for titit
U for me",,,,
"If You Don't Give A FUCK, why you leave your comment?
Kl lo tersinggung, sori. Gak ada maksud, kok.",,,,
i had story about that time when i was a teenager and puberty and a moody (sometimes now). i talked shit on fb and my cuzn told dad about it. he got angry and beat me ah idk what it was cz fuck you tukang cepu/tukang ngadu. bangsat kau,,,,
Fuck give away kingdom.. bangsa BAR2 anjing #ShameOnYouSyedSaddiq,,,,
FUCK EVERYTHING BANGSAT IM SO FUCKING DONE,,,,
"Bangsat je perangai lu, sebab tu i don't fuck with you fuckers, kerja nak eat off other people's shit",,,,
"x kira la family ke bestfriend ke bini ke sapa kn, theres 1 thing i cant tolerate. Bazir masa. Fuck off, fuck ur face bangsat. Melengah lengahkan masa is bullshit. U dont deserve the world. U deserve to be dead. I mean it.",,,,
"lihat saja teman-teman bangsat, i can live by my own. and i don't fucking need u guys. fuck y'all",,,,
Fuck Off @Israel and you  @IsraeliPM Bangsat!  https://twitter.com/AdsNeneng/status/1197496412524597249Â â€¦,,,,
"For fuck sake mcdonaldsâ€™s breakfast should be up for 24 hours, those damn muffins",,,,
"how can she stay silent like nothing happen and all she did today just watching drama & fangirling without even thinking about her thesis. Fuck. You mom crying here for you, she's worried about you and your thesis. Wake up dude. Please wake up. Finish your fucking thesis. Bangsat",,,,
Bangsat elo. Supporter Malay is Fuck Off.  https://twitter.com/SyedSaddiq/status/1197515697242308608Â â€¦,,,,
"FUCK...!!! BANGSAT...!!!
#GanyangMalaysia https://twitter.com/permadiaktivis/status/1197460521009606656Â â€¦",,,,
fuck fuck fuck fuck fuck fuck fuck fuck fuck jangan datang bangsat,,,,
Get the fuck out la sial bangsat. ISRAEL NEVER EXIST FR  https://twitter.com/IDF/status/1110516376555438081Â â€¦,,,,
anyway grmmy can shut the fuck up about diversity and inclusivity. they know nothin about that. bangsat lo :) asian does it better anyway you xenophobic asshole can kiss my asian ass muah,,,,
"hehe bangsat memang , fuck giveaway!",,,,
What the fuck bangsat  https://twitter.com/areajulid/status/1196681706972966912Â â€¦,,,,
anjing bangsat tolol setan. fuck off,,,,
